"","local_date","local_time","site","sl","GRSH_fd","GRSH_fl","GRSH_si","GRSH_co","HUWH_fd","HUWH_sw","HUWH_ot","HUWH_co"
"326","9/12/2017","11:50","S6","0",0,0,0,0,0,0,0,0
"327","9/12/2017","12:13","S7","0",0,0,0,0,0,0,0,0
"328","9/12/2017","12:35","S8","0",0,0,0,0,0,0,0,0
"329","9/12/2017","12:54","S9","1",0,0,0,0,0,0,0,0
"330","9/12/2017","13:17","S10","0",0,0,0,0,0,0,0,0
"331","9/12/2017","13:40","S11","0",0,0,0,0,0,0,0,0
"332","9/12/2017","14:18","S12","0",0,0,0,0,0,0,0,0
"333","9/12/2017","14:36","S13","3",0,0,0,0,0,0,0,0
"334","9/12/2017","15:02","S14","0",0,0,0,0,0,0,0,0
"335","9/12/2017","15:33","C8","0",0,0,0,0,0,0,0,0
"336","9/12/2017","15:53","C7","0",0,0,0,0,0,0,0,0
"337","9/12/2017","16:17","C6","0",0,0,0,0,0,0,0,0
"338","9/12/2017","16:39","C9","0",0,0,0,0,0,0,0,0
"339","9/13/2017","10:10","N9","0",0,0,0,0,0,0,0,0
"340","9/13/2017","10:32","N10","0",0,0,0,0,0,0,0,0
"341","9/13/2017","10:52","N11","0",0,0,0,0,0,0,0,0
"342","9/13/2017","11:12","N12","0",0,0,0,0,0,0,0,0
"343","9/13/2017","11:32","N13","0",0,0,5,0,0,0,0,0
"344","9/13/2017","11:54","N14","0",0,0,0,0,0,0,0,0
"345","9/13/2017","12:12","N15","0",0,0,0,0,0,0,0,0
"346","9/13/2017","12:33","N16","0",0,0,0,0,0,0,0,0
"347","9/13/2017","12:43","N1","0",0,0,0,0,0,0,0,0
"348","9/13/2017","13:17","N3","0",0,0,0,0,0,0,0,0
"349","9/13/2017","13:38","N4","0",0,0,1,0,0,0,0,0
"350","9/13/2017","14:04","N5","0",0,0,0,0,0,0,0,0
"351","9/13/2017","14:38","N6","0",0,0,0,0,0,0,0,0
"352","9/13/2017","15:00","N7","nd",0,0,0,0,0,0,0,0
"353","9/13/2017","15:21","N8","0",0,0,0,0,0,0,0,0
"354","9/13/2017","16:19","C1","0",0,0,0,0,0,0,0,0
"355","9/13/2017","16:38","C14","0",0,1,0,0,0,0,0,0
"356","9/13/2017","17:13","C13","0",0,0,0,0,0,0,0,0
"357","9/13/2017","17:46","C2","0",0,1,0,0,0,0,0,0
"358","9/14/2017","9:55","C12","0",0,0,1,0,0,0,0,0
"359","9/14/2017","10:27","C3","0",0,1,0,0,0,0,0,0
"360","9/14/2017","10:48","C4","0",0,5,0,0,0,0,0,0
"361","9/14/2017","11:19","C11","0",0,3,0,0,0,0,0,0
"362","9/14/2017","11:42","C10","0",0,0,0,0,0,0,0,0
"363","9/14/2017","12:01","C5","0",0,0,0,0,0,0,0,0
"364","9/14/2017","12:40","S28","7",0,1,0,0,0,0,0,0
"365","5/21/2018","9:46","S1","0",0,0,0,0,0,0,0,0
"366","5/21/2018","10:18","S2","0",0,0,0,0,1,1,0,0
"367","5/21/2018","10:48","S3","0",0,0,0,0,0,6,0,0
"368","5/21/2018","11:06","S4","0",0,0,0,0,0,0,0,0
"369","5/21/2018","11:36","S5","0",0,0,0,0,0,0,0,0
"370","5/21/2018","12:03","S6","0",0,0,0,0,0,0,0,0
"371","5/21/2018","12:33","S7","0",0,0,0,0,0,0,0,0
"372","5/21/2018","13:14","S8","0",0,0,0,0,0,0,0,0
"373","5/21/2018","13:40","S9","0",0,0,0,0,0,2,0,0
"374","5/21/2018","14:05","S10","0",0,0,0,0,0,1,0,0
"375","5/21/2018","14:29","S11","0",0,0,0,0,0,3,0,0
"376","5/21/2018","14:53","S12","0",0,0,0,0,0,8,0,0
"377","5/21/2018","15:18","S13","1",0,0,0,0,0,1,0,0
"378","5/21/2018","15:56","S14","0",0,0,0,0,0,2,0,0
"379","5/21/2018","16:29","C8","0",0,0,0,0,0,0,0,0
"380","5/21/2018","16:49","C9","0",0,0,0,0,4,0,0,0
"381","5/21/2018","17:10","C10","0",0,0,0,0,0,4,0,0
"382","5/21/2018","17:29","C11","0",0,0,0,0,0,11,0,0
"383","5/21/2018","17:48","C12","nd",0,0,0,0,0,4,0,0
"384","5/22/2018","9:32","N1","0",0,0,0,0,0,2,0,0
"385","5/22/2018","9:57","N16","0",0,0,0,0,0,1,0,0
"386","5/22/2018","10:25","N15","1",0,0,0,0,0,0,0,0
"387","5/22/2018","10:47","N3","0",0,0,0,0,0,0,0,0
